x,y,u,v,p,vMag
-1.42096721e-02,2.50086276e-02,-2.33571410e-01,-3.40865552e-02,-2.60263979e-01,2.36045539e-01
-3.05840422e-01,1.57815342e-01,7.37422347e-01,2.31307492e-01,1.17568004e+00,7.72848547e-01
5.37922803e-01,-3.38084136e-01,1.91650236e+00,-1.38249004e+00,1.76960802e+00,2.36310387e+00
1.34593298e-01,-4.90631586e-02,-3.81477922e-01,2.56956220e-01,8.29709619e-02,4.59947705e-01
1.13029212e-01,3.00893276e-01,6.16276145e-01,-1.30687505e-01,1.58953309e+00,6.29980564e-01
-1.01736403e-01,3.43379472e-01,2.85494298e-01,8.50595087e-02,-2.39112779e-01,2.97896147e-01
5.64708341e-01,3.42145434e-01,1.95574760e+00,-2.14458418e+00,1.05444252e+00,2.90244555e+00
-1.58642088e-01,8.85725467e-02,7.28545189e-01,2.23704621e-01,1.17616260e+00,7.62116730e-01
-9.15369130e-02,-3.34824144e-01,8.26280594e-01,2.69779980e-01,7.56454766e-01,8.69207025e-01
-6.03675891e-02,1.12353155e-01,-2.61302322e-01,4.78609651e-02,-1.75110221e-01,2.65649348e-01
1.88768932e-01,-1.36294840e-01,-2.21235186e-01,-6.20090663e-01,-7.58522928e-01,6.58374846e-01
1.33344555e-02,7.09172064e-02,-3.01391453e-01,4.89640772e-01,3.17293882e-01,5.74965119e-01
4.25312596e-01,-3.64417339e-01,-4.22439694e-01,-9.22408402e-01,-1.00200093e+00,1.01454055e+00
-2.04323677e-01,-1.67398709e-01,7.62311220e-01,2.34748647e-01,5.74130654e-01,7.97637343e-01
2.49256295e-01,3.46703662e-01,-5.62133789e-01,-1.15086943e-01,4.32315290e-01,5.73793888e-01
4.82298996e-01,2.39911292e-01,4.76772308e-01,-1.49052322e+00,-5.99037647e-01,1.56491888e+00
-4.22768918e-02,2.80950927e-01,2.64053643e-01,2.51457453e-01,-1.78900778e-01,3.64630193e-01
-3.88781183e-03,1.91323039e-01,2.92999506e-01,9.30745751e-02,-2.22350836e-01,3.07427377e-01
5.17651775e-01,1.56763618e-01,1.24210584e+00,-1.80712152e+00,4.40191448e-01,2.19283271e+00
1.68124077e-01,1.02913335e-02,-5.97244024e-01,1.96757168e-02,-2.36368522e-01,5.97568035e-01
6.47095023e-02,-2.27690899e-01,8.06679845e-01,2.61738420e-01,6.79719448e-01,8.48079860e-01
-4.88881976e-02,2.13000156e-01,-6.85452580e-01,6.16818130e-01,2.07150117e-01,9.22122478e-01
2.97439464e-01,-2.11894355e-01,-4.68839630e-02,7.68060982e-03,-7.04997182e-01,4.75089215e-02
